ID,AV_MAX_OZONE,SITE_LATITUDE,SITE_LONGITUDE,SITE_NAME
60370002,0.050238889,34.1365,-117.92391,Azusa
60370016,0.049474286,34.14435,-117.85036,Glendora
60370113,0.046448864,34.05111,-118.45636,West Los Angeles
60371103,0.044068182,34.06659,-118.22688,Los Angeles-North Main Street
60371201,0.052327684,34.19925,-118.53276,Reseda
60371302,0.043327586,33.901389,-118.205,Compton
60371602,0.044790698,34.01029,-118.0685,Pico Rivera #2
60371701,0.041343195,34.06703,-117.7514,Pomona
60372005,0.049570588,34.1326,-118.1272,Pasadena
60374006,0.040789773,33.8025,-118.22,Long Beach (Hudson)
60375005,0.047601124,33.95507,-118.43049,LAX Hastings
60376012,0.04918232,34.38344,-118.5284,Santa Clarita
60379033,0.049866279,34.669739,-118.130511,Lancaster-Division Street
60590007,0.046071429,33.83062,-117.93845,Anaheim
60591003,0.053338983,33.67464,-117.92568,Costa Mesa
60592022,0.051949438,33.63003,-117.67593,Mission Viejo
60595001,0.045597765,33.92513,-117.95264,La Habra
60650009,0.049815642,33.447867,-117.088649,Pechanga
60650012,0.055141243,33.92086,-116.85841,Banning Airport
60650016,0.054234973,33.583018,-117.072202,Temecula
60651016,0.055039548,33.9447129,-116.830074,Morongo Air Monitoring Station
60656001,0.052693989,33.78942,-117.22764,Perris
60658001,0.052455556,33.99958,-117.41601,Rubidoux
60658005,0.051482759,33.99636,-117.4924,Mira Loma (Van Buren)
60659001,0.052028249,33.67649,-117.33098,Lake Elsinore
60710005,0.055807692,34.2431,-117.27235,Crestline
60710012,0.053519774,34.4251,-117.5898,Phelan-Beekley Road & Phelan Road
60710306,0.051102857,34.51096111,-117.32554,Victorville-Park Avenue
60711004,0.05152514,34.10374,-117.62914,Upland
60712002,0.048169591,34.10002,-117.49201,Fontana
60714001,0.053066667,34.41639,-117.2858,Hesperia-Olive Street
60714003,0.053430168,34.05977,-117.14731,Redlands
60719004,0.054887006,34.106678,-117.274063,San Bernardino
60731008,0.04717931,33.217055,-117.396177,Camp Pendleton
60731201,0.04547541,33.36259283,-117.09023,Pala Airpad
61110007,0.047248619,34.210169,-118.870509,Thousand Oaks
61110009,0.048772222,34.404281,-118.80998,Piru - Pacific
61112002,0.049818681,34.276316,-118.683685,Simi Valley-Cochran Street
61113001,0.044934066,34.25239,-119.143182,El Rio-Rio Mesa School #2
